OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.19378469,-59.6417422,20,22,291.3,-42.5
13.1937846,-59.6417419,20,25.6,291.5,-42.5
13.19378429,-59.6417412,20,30.4,291.4,-42.5
13.19378391,-59.64174007,20,30.5,290.9,-42.5
13.19378301,-59.64173844,20,26.9,291.1,-42.5
13.19378212,-59.64173646,20,25,291.7,-42.5
13.19378115,-59.64173448,20,28.2,292.6,-42.5
13.19377994,-59.64173168,20,27.7,292.2,-42.5
13.19377881,-59.64172865,20,26.2,291.1,-42.5
13.19377768,-59.64172564,20,25,290.7,-42.5
13.19377661,-59.64172276,20,25.3,291.4,-42.5
13.19377501,-59.64171849,20,29.1,291.9,-42.5
13.19377358,-59.64171471,20,27.2,291.9,-42.5
13.19377203,-59.64171054,20,14.8,291,-42.5
13.1937704,-59.64170705,21,-2.1,289.9,-42.5
13.19376856,-59.64170236,21,-9.6,290.2,-42.5
13.19376718,-59.64169896,21,-15.9,290.2,-42.5
13.19376561,-59.64169501,21,-26.9,290.4,-42.5
13.19376451,-59.64169196,21,-24.3,289.7,-42.5
13.1937634,-59.64168944,21,-13,288.8,-42.5
13.1937625,-59.64168714,21,-1,290.6,-42.5
13.19376166,-59.64168508,21,0.5,291.3,-42.5
13.19376118,-59.64168322,21,-2.2,290.6,-42.5
13.1937602,-59.64168057,21,-5.1,289.8,-42.5
